BusStopCode,RoadName,Description,Latitude,Longitude,planning_area
24461,Pioneer Sector Lane,Bef Nam Leong Co Pte Ltd,1.29723931495896,103.66626018526829,PIONEER
24489,Joo Koon Rd,Aft Joo Koon Way,1.32574395668742,103.67111058135131,PIONEER
24499,Joo Koon Rd,Panasonic Ind Devices,1.32598700998791,103.67439565139507,PIONEER
24501,PIE,Bef Tuas Flyover,1.32424896848956,103.66479791875364,PIONEER
24509,PIE,Aft Tuas Flyover,1.32431478516881,103.66411622471436,TUAS
24511,Tuas Rd,GUL CIRCLE STN EXIT A,1.319446944,103.6608911,PIONEER
24519,Tuas Rd,GUL CIRCLE STN EXIT B,1.319071944,103.6598081,TUAS
24521,Tuas Rd,Bef Tuas Ave 5,1.317440843177,103.65887836276522,PIONEER
24529,Tuas Rd,Aft Tuas Ave 5,1.31721248927948,103.65816649904158,TUAS
24531,Pioneer Sector 1,Utracon Corp,1.30622638897168,103.65688416696948,PIONEER
24539,Pioneer Sector 1,Dundee Marine,1.30492020241064,103.65548029310382,PIONEER
24541,Pioneer Sector 1,Opp Keppel Shipyard,1.30275657598845,103.6556555059217,PIONEER
24549,Pioneer Sector 1,Keppel Shipyard,1.30273638896787,103.65543583300811,PIONEER
24559,Pioneer Sector 1,HQ 6 Div,1.30079305601761,103.6574800000263,PIONEER
24571,Joo Koon Circle,Seng Heng Engrg,1.32367555849755,103.6690675022225,PIONEER
24581,Joo Koon Circle,Opp ESAB,1.3249613889807,103.666995833031,PIONEER
24599,Joo Koon Rd,Bef Joo Koon Way,1.32562284433654,103.66926644008088,PIONEER
24601,Tuas Rd,Progress Galvanizing,1.31333999996651,103.65486500001047,TUAS
24609,Tuas Rd,Opp Progress Galvanizing,1.3134310373537,103.65475166394909,TUAS
24611,Tuas Rd,Bef Marinteknik,1.31085562935941,103.65254056553094,TUAS
24619,Tuas Rd,Opp Marinteknik,1.31113971951498,103.65260471956782,TUAS
24621,Tuas Rd,Aft Ocean Tanker,1.30797138899535,103.6497794440252,TUAS
24629,Tuas Rd,Opp Ocean Tanker,1.3085113890287,103.65015527797974,TUAS
24631,Gul Circle,Bef Benoi Rd,1.32056657586424,103.67824444522353,PIONEER
24639,Gul Circle,Aft Benoi Rd,1.32041012800861,103.67791569301414,PIONEER
24641,Gul Ave,W Atelier,1.31424000000651,103.66551388890647,PIONEER
24651,Gul Ave,Metall-Treat Ind,1.31490027800406,103.66882611097928,PIONEER
24671,Pioneer Rd,Hiap Teck Metal Co,1.30957805602715,103.66123000003104,PIONEER
24679,Pioneer Rd,Opp Hiap Teck Metal Co,1.30929393064989,103.6612549652211,PIONEER
24681,Pioneer Rd,Opp Jurong Insp Ctr,1.31200874931979,103.65863348470845,PIONEER
24689,Pioneer Rd,Jurong Insp Ctr,1.31152436181276,103.65889588893424,PIONEER
24691,Pioneer Rd,Aft Tuas Rd,1.31344500002083,103.65712805602767,PIONEER
24699,Pioneer Rd,Bef Tuas Rd,1.31345305601187,103.65690250002406,TUAS
24701,Pioneer Rd,TUAS CRES STN EXIT B,1.321386,103.649116,TUAS
24709,Pioneer Rd,TUAS CRES STN EXIT A,1.32089,103.649026,TUAS
24711,Pioneer Rd,TUAS WEST RD STN EXIT B,1.329871,103.639994,TUAS
